Designator,Mid X,Mid Y,Rotation,Layer
C1401,90.6272,-10.7188,180.0,top
C1402,90.0035,-18.7074,270.0,top
C1501,26.1112,-29.3116,0.0,top
C1502,11.6102,-30.932,180.0,top
C1503,15.24,-27.3252,180.0,top
C1504,15.24,-26.36,180.0,top
C1505,11.6102,-30.0176,180.0,top
C1506,15.24,-25.3948,180.0,top
C1507,2.159,-28.2448,90.0,top
C1508,26.1112,-30.2768,0.0,top
C1509,17.3736,-35.6616,270.0,top
C1510,22.0472,-25.7556,180.0,top
C1511,21.2852,-36.1188,270.0,top
C1512,40.0812,-13.7922,180.0,top
C201,47.752,-10.922,270.0,top
C202,40.64,-12.446,0.0,top
C203,82.3468,-29.3116,0.0,top
C204,69.5706,-31.496,180.0,top
C205,70.2056,-27.432,180.0,top
C206,70.2056,-25.4,180.0,top
C207,70.2056,-26.416,180.0,top
C208,69.5452,-30.1244,180.0,top
C209,73.2028,-35.6108,270.0,top
C210,76.962,-36.1188,270.0,top
C211,82.3468,-30.2768,0.0,top
C212,56.7944,-29.21,0.0,top
C213,78.0034,-25.3238,90.0,top
C214,73.5838,-25.3746,90.0,top
C301,59.978,-14.522,180.0,top
C302,69.7824,-13.4044,0.0,top
C303,60.3844,-8.8832,90.0,top
C304,66.04,-6.0452,90.0,top
C305,62.738,-3.9624,180.0,top
C306,61.3156,-3.9116,90.0,top
C307,55.7075,-14.6744,180.0,top
C308,55.7431,-8.3752,0.0,top
C309,59.978,-12.4392,180.0,top
C310,69.7824,-11.4232,0.0,top
C311,74.2188,-2.4892,0.0,top
C312,76.6064,-4.1148,0.0,top
C401,25.908,-9.906,90.0,top
C402,66.25425,-1.712,180.0,top
D1001,85.0139,-56.5385,0.0,top
D101,60.4774,-27.4828,0.0,top
D103,8.636,-160.663,0.0,top
D104,89.408,-160.663,0.0,top
D1101,90.0939,-56.5385,0.0,top
D1201,95.1739,-56.5385,0.0,top
D1501,8.255,-41.148,180.0,top
D201,35.693333,-160.663,0.0,top
D202,50.2412,-38.1508,0.0,top
D203,62.550666,-160.438,0.0,top
D301,30.988,-4.826,0.0,top
D302,21.463,-10.541,270.0,top
D601,64.6939,-56.5385,0.0,top
D701,69.7739,-56.5385,0.0,top
D801,74.8539,-56.5385,0.0,top
D901,79.9339,-56.5385,0.0,top
J101,84.3026,-15.1488,180.0,top
J1303,91.44,-110.49,0.0,top
J1501,20.32,-50.038,90.0,top
J1502,20.32,-67.31,90.0,top
J201,55.148,-68.58,90.0,top
J301,21.89075,-4.9765,180.0,top
J501,80.264,-68.58,90.0,top
R1001,83.82,-45.8705,90.0,top
R1002,86.106,-45.8705,270.0,top
R101,57.3786,-27.4828,180.0,top
R103,12.573,-160.618,0.0,top
R104,93.091,-160.618,0.0,top
R1101,88.9,-45.8705,90.0,top
R1102,91.186,-45.8705,270.0,top
R1201,93.98,-45.8705,90.0,top
R1202,96.266,-45.8705,270.0,top
R1401,92.5068,-18.1864,90.0,top
R1501,12.065,-28.0902,270.0,top
R1502,11.176,-28.0902,270.0,top
R1503,4.1148,-40.9702,0.0,top
R1504,14.7828,-33.8074,90.0,top
R1505,9.0932,-59.3852,90.0,top
R201,39.497,-160.618,180.0,top
R202,67.7615,-29.083,270.0,top
R203,66.7455,-29.083,270.0,top
R204,66.3448,-160.4518,0.0,top
R205,54.4322,-38.1508,180.0,top
R207,71.1962,-35.3314,180.0,top
R301,34.29,-4.826,0.0,top
R302,23.1648,-9.7536,270.0,top
R303,19.9136,-9.906,270.0,top
R304,64.77,-3.9624,0.0,top
R305,60.2996,-3.9116,90.0,top
R306,62.5094,-6.5786,90.0,top
R307,64.7532,-6.5972,270.0,top
R308,67.056,-6.0452,270.0,top
R309,59.978,-13.506,0.0,top
R310,61.4934,-6.5786,270.0,top
R311,63.788,-6.5972,270.0,top
R312,69.7964,-12.4206,180.0,top
R313,70.3412,-10.0008,180.0,top
R314,69.088,-6.0452,270.0,top
R315,68.072,-6.0452,270.0,top
R401,66.802,-2.9718,0.0,top
R601,63.5,-45.8705,90.0,top
R602,65.786,-45.8705,270.0,top
R701,68.58,-45.8705,90.0,top
R702,70.866,-45.8705,270.0,top
R801,73.66,-45.8705,90.0,top
R802,75.946,-45.8705,270.0,top
R901,78.74,-45.8705,90.0,top
R902,81.026,-45.8705,270.0,top
U1001,85.0392,-51.4585,180.0,top
U1101,90.1192,-51.4585,180.0,top
U1201,95.1992,-51.4585,180.0,top
U1401,90.9687,-14.7828,270.0,top
U1501,20.32,-30.48,90.0,top
U1502,4.064,-34.544,270.0,top
U1503,15.24,-60.198,180.0,top
U201,76.2,-30.48,90.0,top
U202,33.4772,-12.446,180.0,top
U203,59.182,-34.544,270.0,top
U301,75.7428,-9.7536,270.0,top
U302,64.804,-11.3724,90.0,top
U401,70.52145,-2.474,180.0,top
U601,64.7192,-51.4585,180.0,top
U701,69.7992,-51.4585,180.0,top
U801,74.8792,-51.4585,180.0,top
U901,79.9592,-51.4585,180.0,top
UR1001,82.804,-74.92,0.0,top
UR1101,87.884,-74.92,0.0,top
UR1201,92.964,-74.92,0.0,top
UR601,62.484,-74.92,0.0,top
UR701,67.564,-74.92,0.0,top
UR801,72.644,-74.92,0.0,top
UR901,77.724,-74.92,0.0,top
X201,53.7718,-35.433,270.0,top
Y301,55.7431,-11.5248,90.0,top
