Designator,Mid X,Mid Y,Rotation,Layer
C1501,89.4236,-30.3022,0.0,top
C1502,73.03,-31.0944,180.0,top
C1503,78.4,-27.3252,180.0,top
C1504,78.4,-26.36,180.0,top
C1505,73.03,-30.18,180.0,top
C1506,78.4,-25.3948,180.0,top
C1507,65.319,-28.63,90.0,top
C1508,89.4236,-31.2674,0.0,top
C1509,80.5336,-35.6616,270.0,top
C1510,85.2072,-25.7556,180.0,top
C1511,84.4706,-36.1308,270.0,top
C1512,80.813,-25.285,90.0,top
C201,35.474,-5.854,90.0,top
C202,26.6031,-12.331,180.0,top
C203,36.4392,-29.7046,0.0,top
C204,23.6301,-31.3585,180.0,top
C205,24.2651,-27.2945,180.0,top
C206,24.2651,-25.2625,180.0,top
C207,24.2651,-26.2785,180.0,top
C208,23.6047,-29.9869,180.0,top
C209,27.2623,-35.4733,270.0,top
C210,31.283,-35.9813,270.0,top
C211,36.4392,-30.6698,0.0,top
C212,10.8539,-29.0725,0.0,top
C213,32.045,-24.8786,90.0,top
C214,27.6254,-25.1326,90.0,top
C215,30.648,-4.711,0.0,top
C216,41.6516,-8.0638,0.0,top
C217,42.4336,-22.8212,0.0,top
C301,53.779,-14.522,180.0,top
C302,64.0972,-13.4044,0.0,top
C303,54.1854,-8.8832,90.0,top
C304,59.841,-6.0452,90.0,top
C305,56.539,-3.9624,180.0,top
C306,55.1166,-3.9116,90.0,top
C307,49.5085,-14.6744,180.0,top
C308,49.5441,-8.3752,0.0,top
C309,53.779,-12.4392,180.0,top
C310,64.0972,-11.4232,0.0,top
C401,16.5256,-10.3498,90.0,top
D1001,23.83995,-56.401,0.0,top
D101,14.5369,-27.3453,0.0,top
D103,8.636,-160.663,0.0,top
D104,89.4744,-160.667,0.0,top
D1101,28.91995,-56.401,0.0,top
D1201,33.99995,-56.401,0.0,top
D1502,61.2648,-38.354,0.0,top
D1503,90.73,-33.45,90.0,top
D201,35.693333,-160.663,0.0,top
D202,4.3007,-38.0133,0.0,top
D203,62.550666,-160.438,0.0,top
D301,14.773,-4.838,270.0,top
D302,21.463,-10.541,270.0,top
D601,3.51995,-56.401,0.0,top
D701,8.59995,-56.401,0.0,top
D801,13.67995,-56.401,0.0,top
D901,18.75995,-56.401,0.0,top
J1303,91.44,-110.49,0.0,top
J1501,83.48,-50.038,90.0,top
J1502,83.48,-71.12,90.0,top
J201,46.03655,-68.4425,90.0,top
J202,49.337,-31.538,0.0,top
J301,21.89075,-4.9765,180.0,top
J501,19.09005,-68.4425,90.0,top
R1001,22.64605,-45.733,90.0,top
R1002,24.93205,-45.733,270.0,top
R101,11.4381,-27.3453,180.0,top
R103,59.4516,-32.8034,90.0,top
R104,93.1828,-160.6416,0.0,top
R1101,27.72605,-45.733,90.0,top
R1102,30.01205,-45.733,270.0,top
R1201,32.80605,-45.733,90.0,top
R1202,35.09205,-45.733,270.0,top
R1501,78.38,-29.79,0.0,top
R1502,78.4,-28.83,0.0,top
R1503,66.02,-40.9314,180.0,top
R1504,77.9428,-33.8074,90.0,top
R1505,95.3008,-62.484,0.0,top
R1506,60.9854,-39.6494,0.0,top
R1507,90.8812,-29.7942,270.0,top
R1508,89.408,-29.337,180.0,top
R201,39.497,-160.618,180.0,top
R202,21.7932,-28.9455,270.0,top
R203,20.828,-28.9455,270.0,top
R204,66.3448,-160.4518,0.0,top
R205,8.4917,-38.0133,180.0,top
R207,25.2557,-35.1939,180.0,top
R208,33.061,-6.0828,270.0,top
R209,44.9326,-25.4,90.0,top
R210,28.6922,-25.1326,90.0,top
R211,45.1768,-22.872,0.0,top
R212,61.5852,-23.2784,180.0,top
R213,29.6828,-22.6942,90.0,top
R220,75.84,-28.02,180.0,top
R221,75.82,-29.55,180.0,top
R301,14.773,-8.521,270.0,top
R302,23.1648,-9.7536,270.0,top
R303,19.9136,-9.906,270.0,top
R304,58.571,-3.9624,0.0,top
R305,54.1006,-3.9116,90.0,top
R306,56.3104,-6.5786,90.0,top
R307,58.5542,-6.5972,270.0,top
R308,60.857,-6.0452,270.0,top
R309,53.779,-13.506,0.0,top
R310,55.2944,-6.5786,270.0,top
R311,57.589,-6.5972,270.0,top
R312,64.1112,-12.4206,180.0,top
R313,64.1422,-10.0008,180.0,top
R314,62.889,-6.0452,270.0,top
R315,61.873,-6.0452,270.0,top
R601,2.32605,-45.733,90.0,top
R602,4.61205,-45.733,270.0,top
R701,7.40605,-45.733,90.0,top
R702,9.69205,-45.733,270.0,top
R801,12.48605,-45.733,90.0,top
R802,14.77205,-45.733,270.0,top
R901,17.56605,-45.733,90.0,top
R902,19.85205,-45.733,270.0,top
U1001,23.86525,-51.321,180.0,top
U1101,28.94525,-51.321,180.0,top
U1201,34.02525,-51.321,180.0,top
U1501,83.48,-30.48,90.0,top
U1502,67.224,-34.544,270.0,top
U1503,80.264,-60.198,180.0,top
U1504,89.154,-60.198,0.0,top
U201,30.2595,-30.3425,90.0,top
U202,32.7499,-12.331,180.0,top
U203,13.2415,-34.4065,270.0,top
U204,30.648,-7.124,0.0,top
U205,42.4336,-24.6667,0.0,top
U207,60.7216,-21.1448,270.0,top
U302,58.605,-11.3724,90.0,top
U601,3.54525,-51.321,180.0,top
U701,8.62525,-51.321,180.0,top
U801,13.70525,-51.321,180.0,top
U901,18.78525,-51.321,180.0,top
UR1001,21.63005,-74.7825,0.0,top
UR1101,26.71005,-74.7825,0.0,top
UR1201,31.79005,-74.7825,0.0,top
UR601,1.31005,-74.7825,0.0,top
UR701,6.39005,-74.7825,0.0,top
UR801,11.47005,-74.7825,0.0,top
UR901,16.55005,-74.7825,0.0,top
X201,62.3218,-30.5936,270.0,top
Y301,49.5441,-11.5248,90.0,top
